Ticker,Current Quarter EPS,Current Quarter Revenue,Estimated EPS,Estimated Revenue
CZOOF,,,-11.36789,174400999.99999997
SDCCQ,,,-0.023167,138139240
ELOX,,,-1.43,0
VRAYQ,,,-0.11,34873000
CLVR,-2.96,4638000,-2.1,5800000
HLTHQ,,,-0.28,19000000
AKTSQ,,,-0.06,11900000
INFIQ,,,-0.15,1000000
GNCAQ,,,-0.2,
SUNWQ,,,-0.21,32400000
GPLDF,,,0.17,58800000
ISUNQ,,,-0.03,29128000
MMATQ,,,-1,14900000
SEELQ,,,-83.6992,0
PSBXP,,,,119190000
CDR/PB,,,,
IDBHF,,,,
ESGOF,,,,
ATH/PA,,,2.666667,
CHWWQ,,,0.07345,46292156.3
BPYPN,,,,1517000000
VITFF,,,-0.04406999999999999,-694322.85
ANG/PD,,,1.9087,693406900
VEVMQ,,,-0.0028,31920000
PSBZP,,,,119190000
GLOP/PA,,,0.54,89091000
SEAL/PB,,,0.662003,142293500
ESGRF,,,,
PSBYP,,,,119190000
